n,beta,eta,gamma,seed,mse,step,delta,est_beta,est_eta,est_gamma
7,2.0,100.0,1000,12835,0.286873,3,0.981147,1.3019,59.3766,994.7933
7,2.0,100.0,1000,12835,0.286873,4,0.981059,,,
7,2.0,100.0,1000,12836,0.169717,0,0.5,1.2235,86.2279,1000.5806
7,2.0,100.0,1000,12836,0.169717,1,0.398489,1.2235,86.2279,1000.5806
7,2.0,100.0,1000,12836,0.169717,2,0.398489,,,
7,2.0,100.0,1000,12839,0.174968,0,0.5,1.4343,66.8285,1048.1468
7,2.0,100.0,1000,12839,0.174968,1,0.001,2.8273,106.1102,1011.4727
7,2.0,100.0,1000,12839,0.174968,2,0.001237,,,
7,2.0,1000.0,1000,13725,0.176868,0,0.5,1.3998,475.4903,1102.7957
7,2.0,1000.0,1000,13725,0.176868,1,0.001,1.882,585.0494,1008.1518
7,2.0,1000.0,1000,13725,0.176868,2,0.004924,1.8705,582.5271,1010.4532
7,2.0,1000.0,1000,13725,0.176868,3,0.002073,1.8789,584.36,1008.7811
7,2.0,1000.0,1000,13725,0.176868,4,0.003754,1.8739,583.2797,1009.7668
7,2.0,1000.0,1000,13725,0.176868,5,0.00258,1.8774,584.0341,1009.0786
7,2.0,1000.0,1000,13725,0.176868,6,0.003329,,,
7,5.0,100.0,1000,15829,0.006204,0,0.5,1.0253,24.3436,1075.5256
7,5.0,100.0,1000,15829,0.006204,1,0.001,5.3853,98.5704,1007.7333
7,5.0,100.0,1000,15829,0.006204,2,0.001257,,,
10,1.0,100.0,1000,12101,0.403648,0,0.5,0.7143,44.2002,999.5196
10,1.0,100.0,1000,12101,0.403648,1,0.872687,0.7005,43.9686,999.6357
10,1.0,100.0,1000,12101,0.403648,2,0.871035,0.7005,43.9694,999.6354
10,1.0,100.0,1000,12101,0.403648,3,0.87104,,,
10,1.0,100.0,1000,12102,0.659269,0,0.5,0.7157,175.8495,1004.5341
10,1.0,100.0,1000,12102,0.659269,1,0.077766,0.7275,176.497,1004.1223
10,1.0,100.0,1000,12102,0.659269,2,0.098148,0.7269,176.4622,1004.1445
10,1.0,100.0,1000,12102,0.659269,3,0.096893,0.7269,176.4643,1004.1431
10,1.0,100.0,1000,12102,0.659269,4,0.09697,,,
10,1.0,100.0,1000,12103,0.464324,0,0.5,1.6799,104.6071,999.3963
10,1.0,100.0,1000,12103,0.464324,1,0.573282,1.6799,104.6071,999.3963
10,1.0,100.0,1000,12103,0.464324,2,0.573282,,,
10,1.0,100.0,1000,12105,0.067135,0,0.5,0.7488,100.4541,1000.1589
10,1.0,100.0,1000,12105,0.067135,1,0.804468,0.7401,100.1025,1000.3481
10,1.0,100.0,1000,12105,0.067135,2,0.769103,0.741,100.14,1000.3283
10,1.0,100.0,1000,12105,0.067135,3,0.773391,0.7409,100.1355,1000.3307
10,1.0,100.0,1000,12105,0.067135,4,0.772927,,,
10,1.0,100.0,1000,12106,0.790153,0,0.5,1.8222,134.852,998.7213
10,1.0,100.0,1000,12106,0.790153,1,0.694662,1.8213,134.0137,999.2548
10,1.0,100.0,1000,12106,0.790153,2,0.546004,1.8213,134.0137,999.2548
10,1.0,100.0,1000,12106,0.790153,3,0.546004,,,
10,1.0,100.0,1000,12107,0.200606,0,0.5,0.7398,64.0181,999.0876
10,1.0,100.0,1000,12107,0.200606,1,0.885304,0.7352,63.8757,999.1565
10,1.0,100.0,1000,12107,0.200606,2,0.883134,0.7352,63.8765,999.1562
10,1.0,100.0,1000,12107,0.200606,3,0.883146,,,
10,1.0,100.0,1000,12108,0.142052,0,0.5,0.68,79.3332,1004.1635
10,1.0,100.0,1000,12108,0.142052,1,0.097428,0.6837,79.5114,1004.0973
10,1.0,100.0,1000,12108,0.142052,2,0.100999,0.6837,79.5095,1004.0981
10,1.0,100.0,1000,12108,0.142052,3,0.100959,,,
10,1.0,100.0,1000,12109,0.077802,0,0.5,0.821,121.9293,1006.4823
10,1.0,100.0,1000,12109,0.077802,1,0.021454,0.8459,123.2286,1005.6824
10,1.0,100.0,1000,12109,0.077802,2,0.033152,0.8451,123.1878,1005.7088
10,1.0,100.0,1000,12109,0.077802,3,0.032671,,,
10,1.0,100.0,1000,12110,0.083537,0,0.5,0.7094,106.1683,1003.2978
10,1.0,100.0,1000,12110,0.083537,1,0.159361,0.7186,106.3791,1003.1202
10,1.0,100.0,1000,12110,0.083537,2,0.174407,0.7181,106.368,1003.1295
10,1.0,100.0,1000,12110,0.083537,3,0.173591,,,
10,1.0,100.0,1000,12112,0.0147,0,0.5,0.8769,106.8108,1004.6174
10,1.0,100.0,1000,12112,0.0147,1,0.059835,0.9158,108.4275,1003.5145
10,1.0,100.0,1000,12112,0.0147,2,0.109034,0.9102,108.1943,1003.6751
10,1.0,100.0,1000,12112,0.0147,3,0.100078,0.9112,108.2341,1003.6477
10,1.0,100.0,1000,12112,0.0147,4,0.101557,0.911,108.2275,1003.6523
10,1.0,100.0,1000,12112,0.0147,5,0.101311,,,
10,1.0,100.0,1000,12113,0.125676,0,0.5,0.715,81.0292,998.9557
10,1.0,100.0,1000,12113,0.125676,1,0.893759,0.7017,80.818,999.1491
10,1.0,100.0,1000,12113,0.125676,2,0.888022,0.7019,80.8206,999.1468
10,1.0,100.0,1000,12113,0.125676,3,0.888092,,,
10,1.0,100.0,1000,12116,0.031388,0,0.5,0.9352,80.6623,1003.6539
10,1.0,100.0,1000,12116,0.031388,1,0.097454,1.0118,83.0578,1001.9046
10,1.0,100.0,1000,12116,0.031388,2,0.23935,0.9763,81.9392,1002.7331
