comparison,seed,test_n,point_estimate_J1,ci_low_J1,ci_high_J1,bootstrap_mean_J1,point_estimate_regret,ci_low_regret,ci_high_regret,bootstrap_mean_regret,representation,train_n
T_minus_S,3407,10,0.02395109097676984,0.013037947076513571,0.03564010016399705,0.02409645121804292,0.0259484803620006,0.014642605839768178,0.037182400573617706,0.025953867667231793,F12,20
T_minus_S,3407,10,0.060840948902850966,0.037733393821210943,0.08754717587906315,0.06088465637017472,0.06818021471386701,0.04295174128114426,0.09623472061512307,0.06805153238143434,RAW,7
T_minus_S,3407,10,0.09789824524634849,0.06696710548257327,0.12585565084035744,0.09737918568434299,0.1133355904889834,0.07046138063039227,0.15761632515186252,0.11336477832040923,RAW,20
RAW_minus_F13,3407,20,-0.0025061389955438607,-0.005328869114419104,0.0003856450905188538,-0.0025011517259451656,-0.001993729829011002,-0.004191380714970385,0.00030633313215746975,-0.0019874383584438,,
F12_minus_F13,3407,20,-0.0034946704975403753,-0.009032142806956519,0.002587754712752144,-0.0034693816238809774,-0.0027766900153863017,-0.00731296244451612,0.001973459984159875,-0.002778675461062808,,
J_minus_S,3407,20,0.012576553890670694,0.00615575321060593,0.019390703736143655,0.012522990966161641,0.0098784805560682,0.004543546569077059,0.01616327067045325,0.009906172059707482,F13,"7,10,20"
J_minus_S,3407,20,0.009001132021367708,0.006354131866518935,0.01159797356407672,0.009007296519662967,0.007039371975884598,0.004712233145845055,0.009497618129006631,0.007059003106153499,F12,"7,10,20"
J_minus_S,3407,20,0.0090197237738453,0.003999239647157709,0.013682599378538064,0.009001311938988083,0.007071576601376597,0.0029712929357523688,0.01122595810141979,0.007092444241092619,RAW,"7,10,20"
L_minus_S,3407,20,0.06199181128634201,0.04115993861233361,0.084737000831977,0.062085482610780056,0.051755924967289604,0.03423351990854282,0.07022827419243406,0.05176833387007595,F13,"7,10"
L_minus_S,3407,20,0.030979884410094416,0.015975517921842607,0.04561746439049924,0.030735123865405705,0.0249088440508482,0.011499849244340839,0.04002490637282509,0.024977369503760963,F12,"7,10"
L_minus_S,3407,20,0.09721116580447531,0.06202420366271751,0.13611379470147136,0.09718821397338397,0.0847879665089991,0.05380108388241622,0.1176979395537471,0.08462065490904624,RAW,"7,10"
T_minus_S,3407,20,0.1292586143165892,0.07040370906515454,0.18867685113127586,0.12845217301283401,0.11661066594206719,0.05740775509977709,0.18670000467938092,0.11696125798287585,F13,7
T_minus_S,3407,20,0.05305728459029302,0.035968291036756646,0.0704427583800484,0.052815371061377604,0.043822596543926506,0.027221417490227245,0.06285731391479701,0.043863846386289755,F13,10
T_minus_S,3407,20,0.0668356165762638,0.04628292613637567,0.08657072817696475,0.06649917897356318,0.056134469725486705,0.03486825460274767,0.07989124738995235,0.05622583645901899,F12,7
T_minus_S,3407,20,0.024224545461103197,0.013163269494829785,0.03420461150803727,0.024060125501372168,0.019313684761026302,0.009474362776074007,0.02985532850118339,0.019374050707532724,F12,10
T_minus_S,3407,20,0.13723618428251555,0.10041842412551447,0.17569501339270424,0.13706421565411767,0.1251908280637557,0.08998365407564947,0.1607641009310182,0.12497784726632116,RAW,7
T_minus_S,3407,20,0.11121538016761617,0.06613361752530396,0.16110261083811067,0.11112660291156183,0.0985599821520177,0.057912559446005867,0.14271612626679536,0.09842377510818645,RAW,10
