sample_id,gamma,objective,beta,eta
Sample-1-1,719.27251002004,3.773322480354363e-09,0.9999882739430882,1150.2546010065914
Sample-1-1,720.6020340681363,5.531666824377018e-10,0.999987441899859,1148.9249708524433
Sample-1-1,723.2610821643286,1.3876258586389945e-11,0.9999857048231943,1146.265701611402
Sample-1-1,725.9201302605211,3.502511914080212e-09,0.9999837922138244,1143.6064099392902
Sample-1-1,727.2496543086172,2.1786342655363106e-11,0.999982758081686,1142.2767530312597
Sample-1-1,728.5791783567134,1.944293541393375e-09,0.9999817260439493,1140.947096942822
Sample-1-1,729.9087024048097,3.5028003242332446e-09,0.9999806691301146,1139.6174373382096
Sample-1-1,731.2382264529058,4.418634711493227e-11,0.9999796000915527,1138.2877750401144
Sample-1-1,732.567750501002,1.4661299700688895e-09,0.9999785106262054,1136.9581101717156
Sample-1-1,733.8972745490983,3.628719634444564e-09,0.9999774022108454,1135.628443619887
Sample-1-1,736.5563226452906,3.750790748547868e-11,0.9999751169673425,1132.9690985392328
Sample-1-1,737.8858466933867,3.876322603361425e-09,0.9999739293213303,1131.6394206691627
Sample-1-1,739.215370741483,1.151059565520393e-12,0.9999723596775648,1130.3096926741985
Sample-1-1,740.5448947895792,6.052104183475529e-10,0.999971123285545,1128.9800072434819
Sample-1-1,741.8744188376753,3.944761976414828e-09,0.999969852954366,1127.650317531811
Sample-1-1,743.2039428857715,4.094496522787924e-10,0.9999685428208257,1126.3206210948447
Sample-1-1,744.5334669338678,1.087299332702327e-11,0.9999672422026347,1124.990926207018
Sample-1-1,745.8629909819639,3.223275615396614e-10,0.9999659070362659,1123.6612263642699
Sample-1-1,748.5220390781564,3.1879446130872354e-09,0.9999630973906752,1121.0018081787491
Sample-1-1,749.8515631262525,3.6739692885201514e-11,0.9999616212360871,1119.6720884441618
Sample-1-1,753.840135270541,6.265736482921071e-10,0.9999569425547093,1115.682895736321
Sample-1-1,757.8287074148296,2.3020582246284938e-11,0.999951791348555,1111.6936370556662
Sample-1-1,759.1582314629259,1.2535907900757925e-09,0.9999499671300314,1110.3638693772095
