route,n,fold,seed,mean_magnitude,mean_absolute_error,compensation,rmsre
P,10,5,2026,0.18721654733649112,0.11744232827306235,0.3543597582199443,0.17981794213258262
Q,10,5,2026,1.5022329795100804,0.11988782100630482,0.9136286112595917,0.16891558615988733
QCP,10,5,2026,0.18899699369612366,0.11962612535623839,0.33734475550988663,0.16793728705412891
P,10,5,3407,0.18515178509477057,0.11906217402475903,0.32292454382804964,0.17948248305506354
Q,10,5,3407,1.50569669273878,0.11919581906332229,0.9154139352792438,0.1692554521260038
QCP,10,5,3407,0.18918475733959927,0.11648029505964078,0.3504451697619576,0.16804966974613508
P,10,5,17,0.18658484637796102,0.12025212825582537,0.3220973003688573,0.17652444157366745
Q,10,5,17,1.4906012085497364,0.11921370835680613,0.9144898539215569,0.16953746385782836
QCP,10,5,17,0.1882134748639146,0.11920651385772553,0.3267556217738036,0.1686529264124724
P,10,5,73,0.18490473086435624,0.11811872403452855,0.3311123568032653,0.18095497402856914
Q,10,5,73,1.501994996968629,0.11892971843017267,0.9157238510112264,0.1691619906368173
QCP,10,5,73,0.18863244427595352,0.11837018142738212,0.34175222821497747,0.16780377810608574
P,10,5,314,0.18192941999958007,0.11812021360126375,0.31677727600151057,0.1754771036884266
Q,10,5,314,1.4952879238914814,0.11852774756038562,0.915171725945731,0.1696837332018214
QCP,10,5,314,0.18638780517358586,0.11799776574877416,0.33711429028845735,0.16793125118944702
P,10,5,2718,0.18467471242871714,0.11731997721768934,0.33489188977030876,0.17804011054022445
Q,10,5,2718,1.4937328248254487,0.12032696754431242,0.9137656203429693,0.1697600880749269
QCP,10,5,2718,0.19019236305373344,0.11889225538231805,0.3397595101679223,0.1680542501474525
P,10,5,4099,0.19185194212519244,0.11766480015871345,0.3688704435238923,0.18166560758723047
Q,10,5,4099,1.4976538347419206,0.12001078850845838,0.9143159715797754,0.16881655918573915
QCP,10,5,4099,0.18718556056294905,0.11844994737597835,0.33775658909961975,0.16810720780266003
P,10,5,8128,0.18509482660711185,0.11879671624767961,0.325542241121812,0.1783354752657878
Q,10,5,8128,1.4976471995029754,0.1191094199482635,0.9150575409522769,0.1694349342094274
QCP,10,5,8128,0.18595536645045502,0.1188527919748546,0.326055459323143,0.16741454124868396
P,10,5,12011,0.18422196263751262,0.11815269830597759,0.324644006794821,0.17840920680618744
Q,10,5,12011,1.4954787898836885,0.11981556955764229,0.9141276547459607,0.16962664148605391
QCP,10,5,12011,0.19888046343400997,0.11811087124704651,0.3881207894160715,0.1686305835626371
