beta,n,gamma_eta,delta,bias_beta,sd_beta,bias_eta,sd_eta,bias_gamma,sd_gamma,n_valid
1.5,10,0.1,0.38,-0.14802319399999986,0.40115716323639056,-0.09071147000000013,0.2813208555039958,0.09778899199999999,0.1571742282077483,500
1.5,10,0.1,0.4,-0.15376228000000003,0.4020892586027847,-0.09439162400000012,0.2788872487900837,0.10068469199999999,0.15690394696024873,500
1.5,10,0.1,0.42,-0.16029164799999984,0.3987305816479327,-0.09735052,0.2776750727134549,0.10304223000000001,0.15641446977609127,500
1.5,10,0.1,0.44,-0.1658671180000002,0.3981349736179725,-0.10056981799999998,0.2762602183453588,0.10555717800000003,0.15576146139080588,500
1.5,10,0.1,0.46,-0.16860885000000003,0.4050108308844331,-0.10479402400000004,0.27365044843560815,0.10867114200000003,0.15509745506393216,500
1.5,10,0.1,0.48,-0.17425759200000024,0.4026980997751474,-0.10751799399999995,0.2726846179539788,0.11078682599999998,0.1546490238795367,500
1.5,10,0.1,0.5,-0.17874788399999986,0.4032897356394815,-0.1107371399999999,0.27152706346385996,0.11321502600000002,0.15449567221567104,500
1.5,10,0.5,0.0,0.4409254039999999,0.9528608114168768,0.14592514200000006,0.42959993812953423,-0.123236772,0.29609913543493954,500
1.5,10,0.5,0.02,0.35638570599999997,0.8831510800672008,0.11418968600000023,0.4145954890046072,-0.09391612400000005,0.28223873317500753,500
1.5,10,0.5,0.04,0.2924534000000001,0.8286310939883663,0.09004982800000016,0.40137056818292166,-0.071651684,0.26953427339325775,500
1.5,10,0.5,0.06,0.237725564,0.7787124856816223,0.0692477199999999,0.3880696721039243,-0.05246683600000007,0.2568853999365363,500
1.5,10,0.5,0.08,0.18918800599999996,0.731416995748881,0.05070518800000001,0.37507449841650586,-0.035380574,0.24426329098800972,500
1.5,10,0.5,0.1,0.14718363999999995,0.6892373196435675,0.034572802000000236,0.36350706531036764,-0.020575602000000026,0.2328845894415995,500
1.5,10,0.5,0.12,0.11113243399999995,0.6529541762106155,0.020583333999999898,0.353250156305361,-0.007812351999999967,0.2230067385463189,500
1.5,10,0.5,0.14,0.07986355999999972,0.6220826558280939,0.008253247999999935,0.34392083571234916,0.003360453999999957,0.21430501042241684,500
1.5,10,0.5,0.16,0.05198747199999976,0.594299461318585,-0.002921909999999861,0.33517338841024163,0.013426459999999918,0.206188256532967,500
1.5,10,0.5,0.18,0.02752859799999996,0.5706282857358054,-0.012868142000000082,0.3274415331027743,0.022316537999999997,0.1992192218628912,500
1.5,10,0.5,0.2,0.005854322000000245,0.5504429455598677,-0.021846123999999967,0.32040615052741456,0.030277255999999975,0.19312866778537974,500
1.5,10,0.5,0.22,-0.01343400799999972,0.5332812157367361,-0.029988258000000045,0.31416252350406837,0.03743435399999995,0.18788439779704916,500
1.5,10,0.5,0.24,-0.030673199999999623,0.5188541017839833,-0.037446462000000125,0.30863694584190304,0.043930880000000005,0.1833584778515181,500
1.5,10,0.5,0.26,-0.045361344000000026,0.5108383409718689,-0.04453411600000001,0.3038084983841225,0.05003437600000005,0.17942035996906672,500
1.5,10,0.5,0.28,-0.05952246999999988,0.500239652339631,-0.05085256199999999,0.299290475200675,0.055441810000000036,0.17596144825664245,500
1.5,10,0.5,0.3,-0.07234116599999996,0.4915455860288396,-0.056816831999999984,0.29516268395829903,0.06049454200000004,0.1728787258742615,500
