beta,gamma_eta_ratio,eta,gamma,n,repeat_id,primary_class,high_has_root,low_geom_has_root,low_uniform_has_root,grid_gradient_has_root,min_abs_g_minus_offset,g_min,g_max,boundary_fraction,multipeak_fraction,beta_unstable,gradient_noise_suspect
1.5,0.2,1000.0,200.0,10,12,strict_root,True,True,True,True,0.07932431377935681,-0.7256399318499726,4.821915182757766,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,13,strict_root,True,True,True,True,0.11414432782353315,-0.7218005538790804,10.475735947020555,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,14,strict_root,True,True,True,True,0.010670023565651873,-0.035557817787347776,1.453424267408494,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,15,strict_root,True,True,True,True,0.0792019795238739,-0.5127039618810785,5.840022902455394,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,16,strict_root,True,True,True,True,0.0029489288738016317,0.08372226726094771,1.5187931725057107,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,17,coarse_uniform_miss,True,True,False,True,0.03237105293035536,-3.0623169556284893,43.476690651491396,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,18,strict_root,True,True,True,True,0.0026659368160911745,0.008213165536971103,1.0754740522479214,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,10,19,coarse_uniform_miss,True,True,False,True,0.14549890325333087,-2.026235695551934,13.568670993486881,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,0,strict_root,True,True,True,True,0.06721249652811412,-0.9357100841691498,6.255339116820004,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,1,strict_root,True,True,True,True,0.016912178155918417,-0.12705472785649316,1.9006490099001632,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,2,strict_root,True,True,True,True,0.019456945959408306,-0.09952780272452633,2.8083488740029443,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,3,strict_root,True,True,True,True,0.037370072397398924,-0.31172328579899666,2.595300495814947,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,4,strict_root,True,True,True,True,0.07624489363165966,-0.6353903004163441,5.8300109841147005,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,5,strict_root,True,True,True,True,0.008796560217682173,-0.07372377060045983,1.4678033113604667,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,6,strict_root,True,True,True,True,0.009814781464111341,-0.06356393241652533,0.9393639698411193,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,7,strict_root,True,True,True,True,0.04019004161678166,-0.2763460968597597,5.618836174082916,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,8,strict_root,True,True,True,True,0.010882279782084656,-0.031079819453756277,2.4106794906305504,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,9,strict_root,True,True,True,True,0.008939444502758909,-0.1435834479453523,1.6420895611250874,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,10,strict_root,True,True,True,True,0.006772663363704676,0.07575570166643765,1.9402442604555978,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,11,strict_root,True,True,True,True,0.07757115078712215,-0.928433588748621,6.123806662138269,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,12,strict_root,True,True,True,True,0.01225870840672208,0.0592667351120678,1.5761133021281082,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,13,strict_root,True,True,True,True,0.010759116657239595,-0.04930835419990761,2.7702408082670424,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,14,all_above_offset,False,False,False,False,0.07168457232655184,0.17168457232655185,0.9574922775912427,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,15,strict_root,True,True,True,True,0.0014295163262992433,-0.15270534728982288,5.298362158285117,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,20,16,all_above_offset,False,False,False,False,0.21384949220844732,0.3138494922084473,1.4636171512922314,0.0,0.0,False,False
